# name RA(deg) Dec(deg) r_petro r_auto z_tonry z_spec M_r r_e(arcsec) <mu(re)>(mag/arcsec^2) mu(re)(mag/arcsec^2) mu(2re)(mag/arcsec^2) ellip PA(deg) log(M*/Msol) g-i A_g CATAID SURV_SAMI tile blue_cube red_cube
J092015.56+014716.5 140.06483517 1.78792026 18.745 18.583 0.01787 0.01694 -15.85 3.35 22.67 23.55 25.26 0.3992 33.79 8.26 0.87 0.102 325390 8 Y13SAR1_P003_09T006 http://sami-survey.org/edr/data/325390/325390_blue_7_Y13SAR1_P003_09T006.fits.gz http://sami-survey.org/edr/data/325390/325390_red_7_Y13SAR1_P003_09T006.fits.gz
J092021.97+004924.2 140.09157464 0.82339506 18.095 17.175 0.01879 0.01786 -17.38 6.63 22.80 23.41 25.32 0.6779 71.19 8.64 0.58 0.122 623726 8 Y13SAR1_P009_09T015 http://sami-survey.org/edr/data/623726/623726_blue_7_Y13SAR1_P009_09T015.fits.gz http://sami-survey.org/edr/data/623726/623726_red_7_Y13SAR1_P009_09T015.fits.gz
J092031.46+005613.2 140.13109644 0.93702459 17.669 17.662 0.01936 0.01844 -16.95 2.41 20.90 21.84 23.53 0.4856 61.27 8.48 0.59 0.119 279943 8 Y13SAR1_P009_09T015 http://sami-survey.org/edr/data/279943/279943_blue_7_Y13SAR1_P009_09T015.fits.gz http://sami-survey.org/edr/data/279943/279943_red_7_Y13SAR1_P009_09T015.fits.gz
J092033.28+004315.8 140.13867311 0.72105987 16.496 16.407 0.01821 0.01727 -18.08 7.37 22.75 23.46 25.27 0.0847 32.61 9.16 0.87 0.128 623712 8 Y13SAR1_P009_09T015 http://sami-survey.org/edr/data/623712/623712_blue_7_Y13SAR1_P009_09T015.fits.gz http://sami-survey.org/edr/data/623712/623712_red_7_Y13SAR1_P009_09T015.fits.gz
J092034.37+013303.9 140.14321141 1.55109987 16.847 16.864 0.01760 0.01666 -17.53 7.12 21.38 22.08 23.90 0.8132 139.46 8.76 0.66 0.125 302994 8 Y13SAR1_P003_09T006 http://sami-survey.org/edr/data/302994/302994_blue_7_Y13SAR1_P003_09T006.fits.gz http://sami-survey.org/edr/data/302994/302994_red_7_Y13SAR1_P003_09T006.fits.gz
J092037.21+004921.8 140.15506294 0.82273186 17.136 17.127 0.01875 0.01782 -17.42 6.61 21.66 22.24 24.18 0.7866 160.49 8.86 0.84 0.131 623722 8 Y13SAR1_P003_09T006 http://sami-survey.org/edr/data/623722/623722_blue_7_Y13SAR1_P003_09T006.fits.gz http://sami-survey.org/edr/data/623722/623722_red_7_Y13SAR1_P003_09T006.fits.gz
J092046.18+003616.9 140.19242092 0.60472036 16.273 16.187 0.02480 0.02382 -18.98 7.73 22.46 23.18 24.99 0.2911 120.28 9.26 0.55 0.116 216843 8 Y13SAR1_P009_09T015 http://sami-survey.org/edr/data/216843/216843_blue_7_Y13SAR1_P009_09T015.fits.gz http://sami-survey.org/edr/data/216843/216843_red_7_Y13SAR1_P009_09T015.fits.gz
J092123.80+011034.0 140.34916996 1.17611230 17.436 17.409 0.05969 0.05855 -19.78 1.84 19.45 20.60 22.22 0.7016 128.40 10.04 1.18 0.120 373284 8 Y13SAR1_P009_09T015 http://sami-survey.org/edr/data/373284/373284_blue_7_Y13SAR1_P009_09T015.fits.gz http://sami-survey.org/edr/data/373284/373284_red_7_Y13SAR1_P009_09T015.fits.gz
J120344.37+015009.5 180.93489846 1.83597778 14.397 14.317 0.02119 0.01936 -20.53 5.81 21.65 23.03 24.60 0.3588 177.18 10.38 1.17 0.089 288992 8 Y13SAR1_P014_12T001 http://sami-survey.org/edr/data/288992/288992_blue_7_Y13SAR1_P014_12T001.fits.gz http://sami-survey.org/edr/data/288992/288992_red_7_Y13SAR1_P014_12T001.fits.gz
J120354.22+015328.5 180.97593730 1.89125907 14.866 14.717 0.02582 0.02451 -20.56 5.08 21.41 22.28 24.00 0.6699 43.76 10.18 0.91 0.101 230714 8 Y13SAR1_P014_12T001 http://sami-survey.org/edr/data/230714/230714_blue_7_Y13SAR1_P014_12T001.fits.gz http://sami-survey.org/edr/data/230714/230714_red_7_Y13SAR1_P014_12T001.fits.gz
J120401.97+012641.5 181.00820693 1.44487385 15.627 15.549 0.08480 0.08352 -22.49 3.75 20.29 21.78 23.34 0.1529 22.21 11.17 1.32 0.089 272831 8 Y13SAR1_P014_12T001 http://sami-survey.org/edr/data/272831/272831_blue_7_Y13SAR1_P014_12T001.fits.gz http://sami-survey.org/edr/data/272831/272831_red_7_Y13SAR1_P014_12T001.fits.gz
J120405.98+015049.1 181.02495228 1.84697816 13.747 13.630 0.01853 0.01641 -20.93 4.19 18.81 19.93 21.56 0.1296 123.69 10.59 1.22 0.100 289089 8 Y13SAR1_P014_12T001 http://sami-survey.org/edr/data/289089/289089_blue_7_Y13SAR1_P014_12T001.fits.gz http://sami-survey.org/edr/data/289089/289089_red_7_Y13SAR1_P014_12T001.fits.gz
J120407.42+013459.3 181.03095077 1.58314929 17.767 17.875 0.02487 0.02349 -17.34 6.92 23.56 24.33 26.10 0.2873 89.09 8.85 0.86 0.080 220320 8 Y13SAR1_P014_12T001 http://sami-survey.org/edr/data/220320/220320_blue_7_Y13SAR1_P014_12T001.fits.gz http://sami-survey.org/edr/data/220320/220320_red_7_Y13SAR1_P014_12T001.fits.gz
J120427.06+015345.4 181.11277351 1.89596769 12.034 11.531 0.02151 0.01973 -23.36 3.05 20.57 21.88 23.47 0.3321 11.19 11.60 1.27 0.102 230776 8 Y13SAR1_P014_12T001 http://sami-survey.org/edr/data/230776/230776_blue_7_Y13SAR1_P014_12T001.fits.gz http://sami-survey.org/edr/data/230776/230776_red_7_Y13SAR1_P014_12T001.fits.gz
J120430.27+014102.4 181.12615040 1.68400048 17.302 17.291 0.02082 0.01892 -17.49 5.28 21.55 22.27 24.07 0.7194 63.79 8.72 0.62 0.073 289116 8 Y13SAR1_P014_12T001 http://sami-survey.org/edr/data/289116/289116_blue_7_Y13SAR1_P014_12T001.fits.gz http://sami-survey.org/edr/data/289116/289116_red_7_Y13SAR1_P014_12T001.fits.gz
J120444.64+014245.1 181.18600080 1.71253656 18.483 18.531 0.02225 0.02059 -16.34 4.59 23.39 24.37 26.04 0.3647 137.29 8.52 0.97 0.077 289185 8 Y13SAR1_P014_12T001 http://sami-survey.org/edr/data/289185/289185_blue_7_Y13SAR1_P014_12T001.fits.gz http://sami-survey.org/edr/data/289185/289185_red_7_Y13SAR1_P014_12T001.fits.gz
J120445.36+015512.6 181.18902098 1.92018650 18.758 18.820 0.02144 0.01965 -16.00 2.18 22.46 23.20 24.99 0.0617 173.53 8.37 0.93 0.099 230829 8 Y13SAR1_P014_12T001 http://sami-survey.org/edr/data/230829/230829_blue_7_Y13SAR1_P014_12T001.fits.gz http://sami-survey.org/edr/data/230829/230829_red_7_Y13SAR1_P014_12T001.fits.gz
J120448.72+013847.3 181.20300479 1.64648700 18.603 18.570 0.02032 0.01836 -16.15 3.10 22.03 22.75 24.55 0.6042 20.49 8.50 1.00 0.078 220383 8 Y13SAR1_P014_12T001 http://sami-survey.org/edr/data/220383/220383_blue_7_Y13SAR1_P014_12T001.fits.gz http://sami-survey.org/edr/data/220383/220383_red_7_Y13SAR1_P014_12T001.fits.gz
J120456.91+013029.6 181.23715200 1.50824383 15.916 15.807 0.02196 0.02025 -19.10 6.97 21.61 22.14 24.14 0.3537 168.78 9.53 0.83 0.078 220371 8 Y13SAR1_P014_12T001 http://sami-survey.org/edr/data/220371/220371_blue_7_Y13SAR1_P014_12T001.fits.gz http://sami-survey.org/edr/data/220371/220371_red_7_Y13SAR1_P014_12T001.fits.gz
J120522.07+015004.5 181.34198792 1.83460755 18.306 18.274 0.01935 0.01730 -16.35 1.67 21.31 22.42 24.05 0.1012 48.31 8.31 0.68 0.085 289200 8 Y13SAR1_P014_12T001 http://sami-survey.org/edr/data/289200/289200_blue_7_Y13SAR1_P014_12T001.fits.gz http://sami-survey.org/edr/data/289200/289200_red_7_Y13SAR1_P014_12T001.fits.gz
J140940.34-003920.7 212.41811693 -0.65577233 15.238 15.157 0.02478 0.02380 -20.02 6.24 20.32 21.04 22.85 0.5997 65.23 10.09 1.05 0.176 47342 8 Y13SAR1_P009_15T013 http://sami-survey.org/edr/data/47342/47342_blue_7_Y13SAR1_P009_15T013.fits.gz http://sami-survey.org/edr/data/47342/47342_red_7_Y13SAR1_P009_15T013.fits.gz 
J141032.73-005030.7 212.63639030 -0.84186283 17.096 16.986 0.02625 0.02533 -18.30 9.10 23.16 24.08 25.77 0.4731 43.63 8.92 0.46 0.186 543752 8 Y13SAR1_P009_15T013 http://sami-survey.org/edr/data/543752/543752_blue_7_Y13SAR1_P009_15T013.fits.gz http://sami-survey.org/edr/data/543752/543752_red_7_Y13SAR1_P009_15T013.fits.gz
J141100.80-005414.1 212.75336877 -0.90392577 17.999 18.026 0.02682 0.02592 -17.30 3.53 22.10 22.78 24.62 0.4911 171.64 8.49 0.45 0.188 543763 8 Y13SAR1_P009_15T013 http://sami-survey.org/edr/data/543763/543763_blue_7_Y13SAR1_P009_15T013.fits.gz http://sami-survey.org/edr/data/543763/543763_red_7_Y13SAR1_P009_15T013.fits.gz
J141103.98-003242.4 212.76660435 -0.54511067 18.162 18.104 0.02680 0.02590 -17.24 4.26 23.18 23.78 25.70 0.1654 4.69 8.57 0.56 0.191 567676 8 Y13SAR1_P009_15T013 http://sami-survey.org/edr/data/567676/567676_blue_7_Y13SAR1_P009_15T013.fits.gz http://sami-survey.org/edr/data/567676/567676_red_7_Y13SAR1_P009_15T013.fits.gz
J141110.36-001709.8 212.79318485 -0.28606372 16.966 16.926 0.02674 0.02584 -18.42 8.49 21.68 22.23 24.21 0.8637 150.07 9.29 0.88 0.183 62412 8 Y13SAR1_P009_15T013 http://sami-survey.org/edr/data/62412/62412_blue_7_Y13SAR1_P009_15T013.fits.gz http://sami-survey.org/edr/data/62412/62412_red_7_Y13SAR1_P009_15T013.fits.gz 
J141112.02-005802.5 212.80010694 -0.96738293 17.803 17.842 0.02586 0.02494 -17.42 2.85 20.85 21.45 23.36 0.7448 78.75 8.43 0.31 0.199 543769 8 Y13SAR1_P009_15T013 http://sami-survey.org/edr/data/543769/543769_blue_7_Y13SAR1_P009_15T013.fits.gz http://sami-survey.org/edr/data/543769/543769_red_7_Y13SAR1_P009_15T013.fits.gz
