AGCNr,Name,HIra,HIdec,OCra,OCdec,v21,w50,werr,flux,fluxerr,snratio,rms,dist,loghimass,detcode
  5376,"036-014 ", 150.113754,   3.376111, 150.112915,   3.374167, 2052,372,  2, 13.85,0.11, 67.9, 2.36,  31.8, 9.52,1
  5377,"036-015 ", 150.131668,   3.203889, 150.131256,   3.205278, 2141,150,  2,  5.01,0.08, 36.4, 2.50,  33.1, 9.11,1
205590,"        ", 150.144165,  30.539165, 150.152084,  30.536110,  494, 29,  7,  0.36,0.04,  7.1, 2.05,   7.1, 6.64,1
749307,"        ", 150.147919,  27.307222, 150.142487,  27.316946, 2615,105, 21,  0.68,0.05,  7.4, 2.01,  39.6, 8.40,1
208578,"HIdetHVC", 150.222092,  28.452778,   0.000000,   0.000000,  109, 21,  0,105.88,0.11,540.9, 9.31,   0.0, 0.00,9
191058,"        ", 150.227493,  25.230001, 150.227081,  25.230833, 1430, 54,  9,  0.46,0.04,  6.6, 2.12,  23.0, 7.76,1
204222,"        ", 150.242920,   3.469722, 150.246246,   3.464444, 1974, 59,  9,  0.92,0.06,  9.6, 2.78,  30.7, 8.31,1
191643,"        ", 150.298752,   0.908333, 150.292496,   0.908333, 1268, 82, 10,  1.20,0.08,  9.8, 2.99,  20.3, 8.07,1
205101,"        ", 150.303329,  14.413610, 150.296661,  14.415833, 2461, 86,  7,  0.81,0.06,  9.0, 2.16,  37.9, 8.44,1
208517,"HIdetHVC", 150.324173,   1.012500,   0.000000,   0.000000,  140, 37,  1, 15.75,0.09, 78.5, 6.76,   0.0, 0.00,9
  5390,"N3094   ", 150.362076,  15.775000, 150.358322,  15.769722, 2405,240,  3, 12.42,0.09, 75.4, 2.37,  37.0, 9.60,1
205283,"HIdet   ", 150.380005,  13.357223,   0.000000,   0.000000, 1954, 69,  6,  0.57,0.05,  6.9, 2.20,  30.6, 8.10,1
  5393,"182-061 ", 150.428757,  33.130276, 150.424576,  33.136948, 1458,151,  2, 11.25,0.06,112.9, 1.81,  23.2, 9.16,1
